"id_marker";"date_time";"description";"latitude";"longitude";"statut";"type_marker_id";"user_id"
1;"";"Église Saint-Pierre de Niangon";5.3249928;-4.0872102;"1";1;0
2;"";"Mosquée Aicha Niangon Sud de Yopougon";5.3264295;-4.0885292;"1";1;0
3;"";"Église des Assemblés de Dieu de Niangon-Sud";5.3228032;-4.0873838;"1";1;0
4;"";"Mosquée Selmer";5.3349225;-4.0726903;"1";1;0
5;"";"Église Evangelique";5.3531378;-4.0735944;"1";1;0
6;"";"Église Saint Jacques";5.3558501;-4.0009478;"1";1;0
7;"";"Mosquée Libanaise de Marcory";5.3038814;-3.991652;"1";1;0
8;"";"Église Catholique de Dabré";5.4012815;-3.7456194;"1";1;0
9;"";"Église Mormon de Toits-Rouges";5.3304409;-4.0593941;"1";1;0
10;"";"Église du Nazaréen Bethléem";5.323946;-4.060262;"1";1;0
11;"";"Centre de pieu de Niangon";5.3272053;-4.0907613;"1";1;0
12;"";"Notre Dame de Lourdes";5.335121;-4.117493;"1";1;0
13;"";"Mosque de Treichville";5.3079648;-4.0109253;"1";1;0
14;"";"Paroisse Sainte Marie d’Agouéto";5.4502976;-4.055557;"1";1;0
15;"";"Église Harriste";5.4788411;-4.1540783;"1";1;0
16;"";"Église Céleste";5.3811816;-3.9893048;"1";1;0
17;"";"Église Foursquare";5.3660725;-3.9604862;"1";1;0
18;"";"Église Saint Bernard";5.3698843;-3.9803569;"1";1;0
19;"";"Paroisse Saint Augustin";5.3576365;-3.885572;"1";1;0
20;"";"Église catholique - M'Pouto";5.3299006;-3.9569103;"1";1;0
21;"";"Mosquée CIAD";5.3284639;-3.9505428;"1";1;0
22;"";"Seminiare Catholique";5.325649;-3.9474865;"1";1;0
23;"";"Résidence des soeurs catholiques";5.3284742;-3.9464708;"1";1;0
24;"";"Église Assemblée de Dieu - Le Tabernacle";5.3685705;-4.0262316;"1";1;0
25;"";"Grande Mosquée";5.3491646;-4.0348666;"1";1;0
26;"";"Église pentecôte";5.3469493;-4.0346604;"1";1;0
27;"";"Chapelle Catholique";5.3440749;-4.0337448;"1";1;0
28;"";"Église Harris";5.3441554;-4.0337085;"1";1;0
29;"";"Église Méthodiste";5.345145;-4.0336699;"1";1;0
30;"";"Grane Mosquée d'Abobo";5.422649;-4.0122451;"1";1;0
31;"";"Église Sacré-Coeur";5.4096616;-4.0140964;"1";1;0
32;"";"Église évangelique La Bénédiction";5.3499998;-4.0172164;"1";1;0
33;"";"Église Universelle";5.2117149;-3.7374796;"1";1;0
34;"";"Notre Dame de l’Annonciation";5.3381038;-4.0581914;"1";1;0
35;"";"Saint Sauveur Miséricordieux";5.3469692;-4.0526738;"1";1;0
36;"";"Église méthodiste (Temple Exode)";5.3379194;-4.0738045;"1";1;0
37;"";"Mosquee de Toits-Rouges";5.3299995;-4.0550711;"1";1;0
38;"";"Paroisse Saint François d'Assise";5.3003413;-3.9615109;"1";1;0
39;"";"Christianime celeste";5.2974782;-3.9482459;"1";1;0
40;"";"Mission Evangelique Bethesda";5.3020839;-3.9550526;"1";1;0
41;"";"Saint François Xavier";5.4329181;-4.0164885;"1";1;0
42;"";"Église Evangelique Mission International des rachétés";5.2994848;-3.9522297;"1";1;0
43;"";"Église des Assemblées de Dieu";5.4054492;-3.9831146;"1";1;0
44;"";"Saint Esprit";5.3093439;-4.1039345;"1";1;0
45;"";"Mission evangelique La porte de cieux";5.3119144;-4.1042491;"1";1;0
46;"";"Église Méthodiste Unie PK18";5.444123;-4.0554234;"1";1;0
47;"";"Fisrt Baptis church";5.3087616;-3.9697305;"1";1;0
48;"";"Église évangélique les délices de l'arrière saison";5.3741386;-4.0113487;"1";1;0
49;"";"Église Évangélique le Progrès";5.3077242;-3.9486035;"1";1;0
50;"";"Église de Dieu de la Prophétie";5.3085748;-3.9492016;"1";1;0
51;"";"MEIVA JC";5.3120469;-3.9453054;"1";1;0
52;"";"An Nour";5.3148929;-3.9426744;"1";1;0
53;"";"Mosquée du 05";5.3102102;-3.9451704;"1";1;0
54;"";"mosqée";5.3021087;-3.9467592;"1";1;0
55;"";"Paroisse Dehima Marie Lalou";5.3585548;-3.9630335;"1";1;0
56;"";"La maison de la destinée";5.3618182;-3.9676898;"1";1;0
57;"";"Église Saint-Jean";5.3099738;-4.0880025;"1";1;0
58;"";"Le temple de la foi. Chez Wafo";5.3900699;-3.9912812;"1";1;0
59;"";"Église universelle";5.4056498;-4.0060733;"1";1;0
60;"";"Mission Evangélique la Source";5.2066688;-3.7361198;"1";1;0
61;"";"Église evangelique des Assemblées de Dieu";5.3536068;-4.0212288;"1";1;0
62;"";"Mosquée du Marché Gouro";5.3494904;-4.0233035;"1";1;0
63;"";"Mosquée El Hadj Mohamed Taofiq";5.3511393;-4.0215697;"1";1;0
64;"";"Assemblée de Dieu temple El Kabod";5.3044423;-3.9687673;"1";1;0
65;"";"Église Foursquare Dokui";5.3983841;-3.9995134;"1";1;0
66;"";"Église Saint Jean";5.3355373;-4.0036142;"1";1;0
67;"";"Église Vases d’Honneurs";5.3799697;-3.9895125;"1";1;0
68;"";"Mosquée Sylla";5.2083805;-3.7430713;"1";1;0
69;"";"Grande Mosquée de Grand-Bassam";5.206645;-3.733627;"1";1;0
70;"";"Église du Nazaréen";5.3575381;-3.9665432;"1";1;0
71;"";"Église Universelle";5.4267573;-4.0143038;"1";1;0
72;"";"Magic System";5.3075116;-3.9764604;"1";1;0
73;"";"As Sahaba";5.356073;-4.0221549;"1";1;0
74;"";"Église Baptiste d’Angré";5.4046439;-3.9913438;"1";1;0
75;"";"CESA";5.3085497;-3.9761387;"1";1;0
76;"";"Église Harriste";5.3068645;-3.9746275;"1";1;0
77;"";"Temple Temoin de Jeovah";5.3114142;-3.970543;"1";1;0
78;"";"Oeuvre et Mission";5.3081424;-3.9679754;"1";1;0
79;"";"Paroisse Saint Joseph de Koumassi";5.3098592;-3.9434869;"1";1;0
80;"";"Église de Pentecôte Internationale";5.311671;-3.9488015;"1";1;0
81;"";"Assemblée de Dieu";5.4209208;-4.0111421;"1";1;0
82;"";"Mosquée Petro Ivoire";5.4189018;-4.0133412;"1";1;0
83;"";"Paroisse Notre-Dame de la Tendresse";5.3362805;-3.976279;"1";1;0
84;"";"Mosquée Sangaré";5.3075943;-3.9408763;"1";1;0
85;"";"Chapelle Saint André";5.310961;-3.935325;"1";1;0
86;"";"Christ Light Apostolic Church";5.3105494;-3.9358039;"1";1;0
87;"";"Paroisse Sainte Monique";5.4002576;-4.0014628;"1";1;0
88;"";"Église Notre-Dame d'Afrique";5.2722658;-3.9755424;"1";1;0
89;"";"Église Protestante CMA";5.3236683;-3.9521292;"1";1;0
90;"";"Saint Joseph Charpentier de Yopougon Gare";5.3575602;-4.0700268;"1";1;0
91;"";"Eglise CMA Williamsville";5.3673285;-4.0270336;"1";1;0
92;"";"Mosquée Sénégalaise";5.206218;-3.7343289;"1";1;0
93;"";"Mosquee Sa'Ad ibn Wakass";5.3960936;-4.0107838;"1";1;0
94;"";"Mosquee Kone";5.3943008;-4.0118058;"1";1;0
95;"";"UNA mosquée";5.395629;-4.0202139;"1";1;0
96;"";"La Grotte Mariale";5.4083414;-3.9918604;"1";1;0
97;"";"Mosquée La Guidance";5.2104463;-3.7354615;"1";1;0
98;"";"Mission Evangélique Rencontre et Vérité";5.2130368;-3.7323117;"1";1;0
99;"";"Église Evangile du Royaume";5.338762;-3.9939515;"1";1;0
100;"";"Église de Pentécôte Unie";5.2153542;-3.7451102;"1";1;0
101;"";"Église de Pentécôte International de Côte d'Ivoire";5.2129918;-3.744456;"1";1;0
102;"";"Église Témoin de Jéhova";5.2159564;-3.7337788;"1";1;0
103;"";"Saint Mathias Kalemba Mulumba";5.3319518;-4.070607;"1";1;0
104;"";"Paroisse Cœur Immaculé de Marie de l'Impérial";5.2095182;-3.7347828;"1";1;0
105;"";"mosqué Sénégalaise";5.3021758;-3.9545093;"1";1;0
106;"";"EAD Koumassi Emmanuel";5.3023465;-3.9575604;"1";1;0
107;"";"Église saint Luc Banabakintu";5.350383;-4.0157705;"1";1;0
108;"";"Cathédrale du Sacré Coeur de Grand-Bassam";5.195747;-3.7342349;"1";1;0
109;"";"Assemblee de Dieu";5.2084528;-3.7411621;"1";1;0
110;"";"Saint Esprit";5.2116796;-3.7578163;"1";1;0
